reporting_organisation,donor,project_status,governorate,district,sub_district,community,neighbourhood,camp_name,admin1pcode,admin2pcode,admin3pcode,admin4pcode,neighbourhood_pcode,admin5pcode,location_other,village_camps,latitude_y,longitude_x,cluster,response_type,families,female_headed_hh,beneficiaries,men_18_60,women_18_60,boys_18,girls_18,elderly_males_60,elderly_females_60,idps,host_communities,returnees,pwds,previously_assisted,newly_assisted,conditionality,restrictions,cash_delivery_mechanism,voucher_delivery_mechanism,currency,transfer_value,transfer_frequency,num_payments,fx_rate,total_value_per_hh,total_usd,targeting_criteria,start_date,distribution_date,comments,month_of_activity,abbreviation,implementing_partner,activity,source
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,NA,NA,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,4,1,1,0,2,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,أطمة - مخيم أم الشهداء,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,6,1,1,2,2,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,أطمة - مخيم عباد الله,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,7,1,1,3,2,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,أطمة - مخيم شمس الحرية,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,6,1,1,2,2,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,أطمة - مخيم شمس الحرية,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,4,1,1,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,أطمة - مخيم شمس الحرية,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Deir Hassan - Darhashan,NA,NA,SY07,SY0703,SY070301,C4129,NA,NA,كفرلوسين - حلب لبيه,in the camp,36.233725,36.762754,Multipurpose - Repeated,HRP,1,NA,4,1,1,1,1,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Qah (co),NA,NA,SY07,SY0703,SY070301,C4131,NA,NA,قاح,in the camp,36.296273,36.725165,Multipurpose - Repeated,HRP,1,NA,8,1,1,2,4,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,880,NA,1,18.7,47.05882352941177,47.05882352941177,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,محمبل,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,2,1,1,0,0,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,1840,NA,1,18.7,98.3957219251337,98.3957219251337,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
NA,Private Fund,Completed,Idleb,Harim,Dana,Atma,NA,NA,SY07,SY0703,SY070301,C4130,NA,NA,اهل الشام,in the camp,36.309771,36.689846,Multipurpose - Repeated,HRP,1,NA,7,1,1,2,3,NA,NA,NA,NA,NA,NA,Yes,NA,Unconditional,Cash - Unrestricted,Direct from organisation,Paper voucher,TRY,880,NA,1,18.7,47.05882352941177,47.05882352941177,Vulnerability-based,2023-01-01,2023-01-31,NA,2023-01-31,ATAA,Ataa Humanitarian Relief Association (ATAA),Cash Response,4ws
